code,country_name,continent,region,independence_year,local_name,gov_form,capital
AFG,Afghanistan,Asia,Southern and Central Asia,1919,Afganistan/Afqanestan,Islamic Emirate,Kabul
NLD,Netherlands,Europe,Western Europe,1581,Nederland,Constitutional Monarchy,Amsterdam
ALB,Albania,Europe,Southern Europe,1912,Shqiperia,Republic,Tirane
DZA,Algeria,Africa,Northern Africa,1962,Al-Jazair/Algerie,Republic,Algiers
ASM,American Samoa,Oceania,Polynesia,,Amerika Samoa,US Territory,Pago Pago
AND,Andorra,Europe,Southern Europe,1278,Andorra,Parliamentary Coprincipality,Andorra la Vella
AGO,Angola,Africa,Central Africa,1975,Angola,Republic,Luanda
ATG,Antigua and Barbuda,North America,Caribbean,1981,Antigua and Barbuda,Constitutional Monarchy,Saint John's
ARE,United Arab Emirates,Asia,Middle East,1971,Al-Imarat al-´Arabiya al-Muttahida,Emirate Federation,Abu Dhabi
ARG,Argentina,South America,South America,1816,Argentina,Federal Republic,Buenos Aires
ARM,Armenia,Asia,Middle East,1991,Hajastan,Republic,Yerevan
ABW,Aruba,North America,Caribbean,,Aruba,Nonmetropolitan Territory of The Netherlands,Oranjestad
AUS,Australia,Oceania,Australia and New Zealand,1901,Australia,"Constitutional Monarchy, Federation",Canberra
AZE,Azerbaijan,Asia,Middle East,1991,Azarbaycan,Federal Republic,Baku
BHS,Bahamas,North America,Caribbean,1973,The Bahamas,Constitutional Monarchy,Nassau
BHR,Bahrain,Asia,Middle East,1971,Al-Bahrayn,Monarchy (Emirate),Manama
BGD,Bangladesh,Asia,Southern and Central Asia,1971,Bangladesh,Republic,Dhaka
BRB,Barbados,North America,Caribbean,1966,Barbados,Constitutional Monarchy,Bridgetown
BEL,Belgium,Europe,Western Europe,1830,Belgie/Belgique,"Constitutional Monarchy, Federation",Brussels
BLZ,Belize,North America,Central America,1981,Belize,Constitutional Monarchy,Belmopan
BEN,Benin,Africa,Western Africa,1960,Benin,Republic,Porto-Novo
BMU,Bermuda,North America,North America,,Bermuda,Dependent Territory of the UK,Hamilton
BTN,Bhutan,Asia,Southern and Central Asia,1910,Druk-Yul,Monarchy,Thimphu
BOL,Bolivia,South America,South America,1825,Bolivia,Republic,La Paz
BIH,Bosnia and Herzegovina,Europe,Southern Europe,1992,Bosna i Hercegovina,Federal Republic,Sarajevo
